EventDateId,PlayerName,Position,Team,Opp,Minutes,FGM,FGA,FG2M,FG2A,FG3M,FG3A,FTM,FTA,Points,Rebounds,Assists,Steals,Blocks,Usage,Turnovers,Doubles,FantasyPointsDraftKings,FantasyPointsFanDuel
20200811,Jeremiah Martin,PG,BKN,ORL,21.70,0,7.90,0,5.40,0.70,2.50,1.30,1.90,10.80,3.10,3.40,1.00,0.30,23.86,1.50,1,21.98,22.02
20200811,Jerian Grant,SG,WAS,MIL,10.20,0,2.60,0,1.50,0.40,1.10,0.50,0.70,3.80,1.00,1.60,0.40,0.10,16.62,0.50,0,8.40,8.40
20200811,Jerome Robinson,SG,WAS,MIL,27.70,0,8.80,0,4.60,1.40,4.20,1.00,1.50,11.20,3.40,2.40,0.90,0.40,19.50,1.40,1,21.65,21.38
20200811,Jevon Carter,PG,PHX,PHI,24.30,0,6.80,0,2.90,1.20,3.90,0.50,0.80,6.90,2.70,2.30,1.10,0.40,14.61,0.90,0,16.88,17.19
20200811,JJ Redick,SG,NOP,SAC,27.60,0,11.10,0,4.30,2.90,6.80,2.80,3.10,18.80,2.50,2.80,0.40,0.20,23.78,1.20,1,28.18,26.60
20200811,John Konchar,SG,MEM,BOS,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
20200811,Johnathan Williams,C,WAS,MIL,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
20200811,Jonas Valanciunas,C,MEM,BOS,29.00,0,11.80,0,10.40,0.50,1.40,2.60,3.40,16.90,10.90,2.00,0.40,1.20,22.41,2.10,2,37.43,35.68
20200811,Jose Juan Barea,PG,DAL,POR,12.30,0,5.70,0,3.50,0.80,2.20,0.60,0.80,5.80,1.40,2.90,0.20,0.10,21.87,1.00,0,12.40,11.73
20200811,Jose Juan Barea,PG,DAL,POR,12.30,0,5.70,0,3.50,0.80,2.20,0.60,0.80,5.80,1.40,2.90,0.20,0.10,21.87,1.00,0,12.40,11.73
20200811,Josh Hart,SF,NOP,SAC,26.10,0,7.80,0,2.90,1.70,4.90,1.20,1.60,11.40,5.70,2.00,1.10,0.40,17.49,1.00,1,24.88,24.74
20200811,Josh Jackson,SG,MEM,BOS,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
20200811,Justin Anderson,SG,BKN,ORL,26.80,0,9.10,0,4.60,1.60,4.50,1.50,2.00,12.10,6.00,1.80,0.90,0.70,20.72,1.00,1,25.80,25.80
20200811,Justin Jackson,PF,DAL,POR,13.50,0,4.30,0,2.20,0.70,2.10,0.50,0.60,4.50,2.20,0.60,0.20,0.10,13.46,0.20,0,9.00,8.74
20200811,Justin James,SG,SAC,NOP,5.00,0,1.70,0,1.10,0.20,0.60,0.20,0.40,1.90,0.90,0.40,0.20,0.20,18.55,0.20,0,4.43,4.58
20200811,Jusuf Nurkic,C,POR,DAL,32.00,0,13.60,0,12.90,0.10,0.70,4.10,5.60,18.40,11.20,3.80,1.20,1.60,22.08,2.20,2,44.15,43.74
20200811,Keldon Johnson,SF,SAS,HOU,23.60,0,6.50,0,4.60,0.80,1.90,1.60,2.20,10.50,4.40,1.30,1.00,0.10,16.49,1.10,1,20.00,19.93
20200811,Kelly Oubre,SF,PHX,PHI,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
20200811,Kemba Walker,PG,BOS,MEM,32.00,0,16.70,0,8.20,3.20,8.50,3.90,4.50,19.70,3.80,4.50,1.00,0.50,26.91,2.30,1,34.65,33.21
20200811,Kenrich Williams,PF,NOP,SAC,21.30,0,4.20,0,1.90,0.70,2.30,0.30,0.50,5.30,4.60,2.00,0.80,0.50,11.32,0.60,0,16.70,17.12
20200811,Khem Birch,C,ORL,BKN,19.80,0,3.30,0,3.20,0.00,0.10,1.30,1.80,6.60,5.80,1.40,0.50,0.70,12.15,0.60,0,18.05,18.66
20200811,Kristaps Porzingis,PF,DAL,POR,34.50,0,18.00,0,10.90,2.50,7.10,4.30,5.40,22.00,10.40,1.50,0.80,2.60,24.30,1.60,2,46.00,45.33
20200811,Kyle Anderson,PF,MEM,BOS,24.80,0,6.10,0,4.90,0.40,1.20,1.00,1.50,7.30,4.60,2.90,1.00,0.70,13.55,1.20,0,20.40,21.07
20200811,Kyle Guy,SG,SAC,NOP,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
20200811,Kyle Korver,SF,MIL,WAS,16.00,0,5.10,0,1.20,1.60,3.90,0.60,0.70,7.10,2.00,1.30,0.40,0.20,17.18,0.80,0,13.15,12.45
20200811,Kyle Korver,SF,MIL,WAS,16.00,0,5.10,0,1.20,1.60,3.90,0.60,0.70,7.10,2.00,1.30,0.40,0.20,17.18,0.80,0,13.15,12.45
20200811,Kyle O'Quinn,C,PHI,PHX,23.80,0,7.30,0,6.30,0.30,1.00,1.30,1.60,8.90,8.20,3.50,0.60,1.90,21.08,1.80,0,28.65,29.69
20200811,Lance Thomas,SF,BKN,ORL,22.60,0,5.50,0,3.20,0.80,2.30,0.90,1.10,7.80,4.20,1.20,0.40,0.10,15.18,0.80,0,15.85,15.34
20200811,Lonnie Walker,SG,SAS,HOU,29.20,0,10.20,0,6.80,1.30,3.40,1.20,1.60,12.50,3.70,2.00,1.00,0.50,18.83,1.20,1,23.18,23.24
20200811,Lonzo Ball,PG,NOP,SAC,27.80,0,9.40,0,4.20,1.90,5.20,0.60,1.00,11.90,5.60,7.10,1.30,0.50,22.02,2.90,1,32.65,31.77
20200811,Luc Mbah a Moute,PF,HOU,SAS,8.00,0,1.90,0,1.00,0.30,0.90,0.30,0.50,2.70,1.30,0.40,0.30,0.10,14.15,0.30,0,5.73,5.76
20200811,Luka Doncic,PG,DAL,POR,35.40,0,21.30,0,12.10,3.00,9.20,7.00,9.30,28.90,9.70,8.60,0.90,0.30,31.56,3.90,1,55.88,53.14
20200811,Luka Samanic,PF,SAS,HOU,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
20200811,Marco Belinelli,SG,SAS,HOU,18.80,0,6.70,0,2.90,1.40,3.80,1.10,1.30,9.30,2.10,1.60,0.30,0.00,18.78,0.50,0,15.38,14.62
20200811,Marcus Smart,SG,BOS,MEM,28.50,0,9.90,0,4.20,1.90,5.70,1.80,2.30,11.00,3.30,4.00,1.70,0.40,18.02,1.60,1,25.48,25.66
20200811,Mario Hezonja,PF,POR,DAL,10.00,0,2.80,0,1.80,0.30,1.00,0.50,0.70,3.10,2.00,0.50,0.40,0.10,13.96,0.50,0,7.25,7.25
20200811,Markelle Fultz,PG,ORL,BKN,29.60,0,11.30,0,9.50,0.50,1.80,1.50,2.40,16.70,3.80,6.70,1.30,0.20,24.69,1.90,1,33.80,33.91
20200811,Marko Guduric,SG,MEM,BOS,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
20200811,Marvin Williams,PF,MIL,WAS,16.10,0,4.00,0,1.70,0.80,2.30,0.60,0.70,5.30,2.70,0.90,0.60,0.40,13.23,0.50,0,12.18,12.39
20200811,Marvin Williams,PF,MIL,WAS,16.10,0,4.00,0,1.70,0.80,2.30,0.60,0.70,5.30,2.70,0.90,0.60,0.40,13.23,0.50,0,12.18,12.39
20200811,Matisse Thybulle,SG,PHI,PHX,33.30,0,7.20,0,3.00,1.50,4.20,0.70,1.10,8.80,3.00,2.70,2.70,1.30,14.42,1.70,0,24.50,26.75
20200811,Maxi Kleber,C,DAL,POR,22.40,0,6.00,0,2.50,1.30,3.50,0.90,1.10,7.20,4.70,0.80,0.30,1.10,12.06,0.60,0,17.43,17.64
20200811,Maxi Kleber,C,DAL,POR,22.40,0,6.00,0,2.50,1.30,3.50,0.90,1.10,7.20,4.70,0.80,0.30,1.10,12.06,0.60,0,17.43,17.64
20200811,Melvin Frazier,SG,ORL,BKN,22.30,0,7.30,0,4.40,1.00,2.90,1.20,1.80,11.20,3.20,1.40,1.20,0.50,20.90,1.00,1,20.70,21.24
20200811,Michael Frazier,SG,HOU,SAS,24.50,0,6.80,0,3.20,1.10,3.60,1.40,1.80,8.60,3.70,1.40,0.70,0.00,16.40,1.00,0,16.78,16.24
20200811,Michael Kidd-Gilchrist,SF,DAL,POR,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
20200811,Mikal Bridges,SF,PHX,PHI,35.10,0,8.10,0,4.50,1.30,3.60,1.60,2.00,11.10,4.50,1.90,1.70,0.70,12.66,1.10,1,24.48,25.45
20200811,Mike Scott,PF,PHI,PHX,27.30,0,8.00,0,3.40,1.70,4.60,0.50,0.70,11.40,6.90,1.70,0.50,0.20,16.89,0.70,1,24.48,23.63
20200811,Moritz Wagner,C,WAS,MIL,14.60,0,4.80,0,3.80,0.30,1.00,1.10,1.40,7.90,3.50,0.90,0.40,0.30,21.85,1.00,0,14.68,14.55
20200811,Moses Brown,C,POR,DAL,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
20200811,Nassir Little,PF,POR,DAL,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
20200811,Nemanja Bjelica,PF,SAC,NOP,15.80,0,5.20,0,2.70,1.00,2.50,0.50,0.70,7.60,3.90,1.70,0.50,0.30,17.84,0.80,0,16.73,16.43
