"Player, POS",Team/Opp,▴,Proj / $1K,,Proj / $1K,,Proj / $1,Min/Game,DvP Rank,O/U,Spread,Line,Rating
"Boban Marjanovic, C",DAL v. POR,"$3,500",2.4,"$3,600",2.3,$10,0.8,9.89,20,,2,112,Upgrade
"Michael Kidd-Gilchrist, SF",DAL v. POR,"$3,500",1.1,"$3,000",1.3,$10,0.4,10.98,13,,2,112,Upgrade
"Dwight Powell, PF",DAL v. POR,"$3,500",0,"$3,000",0,$10,0,26.52,29,,2,112,Upgrade
"J.J. Barea, PG",DAL v. POR,"$3,500",2.8,"$3,100",3.3,$10,1,15.38,18,,2,112,Upgrade
"Moses Brown, C",POR @ DAL,"$3,500",0,"$3,000",0,$10,0,3.65,22,,2,-136,Upgrade
"Jaylen Hoard, PF",POR @ DAL,"$3,500",0,"$3,000",0,$10,0,7.92,11,,2,-136,Upgrade
"Nassir Little, PF",POR @ DAL,"$3,500",1.2,"$3,000",1.4,$10,0.4,11.93,11,,2,-136,Upgrade
"Wenyen Gabriel, PF",POR @ DAL,"$3,500",0.2,"$3,000",0.2,$10,0.1,7.83,11,,2,-136,Upgrade
"Anfernee Simons, SG",POR @ DAL,"$3,500",3.2,"$3,000",3.9,$10,1.1,20.96,10,,2,-136,Upgrade
"Caleb Swanigan, PF",POR @ DAL,"$3,500",0,"$3,000",0,$10,0,10.67,11,,2,-136,Upgrade
"Rodney Hood, SG",POR @ DAL,"$3,500",0,"$3,000",0,$10,0,29.46,10,,2,-136,Upgrade
"Marial Shayok, PG",PHI v. PHO,"$3,500",0,"$3,000",0,$10,0,5.15,24,,8,270,Upgrade
"Ryan Broekhoff, PG",PHI v. PHO,"$3,500",0,"$3,000",0,$10,0,10.59,24,,8,270,Upgrade
"Norvel Pelle, C",PHI v. PHO,"$3,500",0.1,"$3,000",0.1,$10,0,8.88,24,,8,270,Upgrade
"Zhaire Smith, SG",PHI v. PHO,"$3,500",0,"$3,000",0,$10,0,4.62,6,,8,270,Upgrade
"Furkan Korkmaz, SG",PHI v. PHO,"$3,500",3.6,"$3,000",4.4,$10,1.3,21.47,6,,8,270,Upgrade
"Ben Simmons, PG",PHI v. PHO,"$3,500",0,"$8,900",0,$36,0,35.38,24,,8,270,Upgrade
"Raul Neto, PG",PHI v. PHO,"$3,500",1,"$3,000",1.3,$10,0.4,11.7,24,,8,270,Upgrade
"Glenn Robinson III, SG",PHI v. PHO,"$3,500",5.8,"$3,800",5.4,$10,2,28.87,6,,8,270,Upgrade
"Kyle O'Quinn, C",PHI v. PHO,"$3,500",0,"$3,000",0,$10,0,9.45,24,,8,270,Upgrade
"Tariq Owens, C",PHO @ PHI,"$3,500",0.2,"$3,000",0.2,$10,0.1,5.13,3,,8,-335,Upgrade
"Jalen Lecque, PG",PHO @ PHI,"$3,500",0.1,"$3,000",0.1,$10,0,6.32,3,,8,-335,Upgrade
"Ty Jerome, PG",PHO @ PHI,"$3,500",1.5,"$3,000",1.8,$10,0.5,10.74,3,,8,-335,Upgrade
"Cheick Diallo, PF",PHO @ PHI,"$3,500",1.8,"$3,000",2.1,$10,0.6,10.29,3,,8,-335,Upgrade
"Frank Kaminsky, PF",PHO @ PHI,"$3,500",5.9,"$3,000",7.1,$10,2.1,20.14,3,,8,-335,Upgrade
"Kelly Oubre Jr., SF",PHO @ PHI,"$3,500",0,"$5,100",0,$18,0,34.52,8,,8,-335,Upgrade
"Quinndary Weatherspoon, PG",SA v. HOU,"$3,500",0.3,"$3,000",0.4,$10,0.1,8.25,16,,2,110,Upgrade
"Luka Samanic, PF",SA v. HOU,"$3,500",0.1,"$3,000",0.1,$10,0,12,25,,2,110,Upgrade
"Chimezie Metu, PF",SA v. HOU,"$3,500",0.4,"$3,000",0.5,$10,0.1,4.53,25,,2,110,Upgrade
"Bryn Forbes, SG",SA v. HOU,"$3,500",0,"$3,100",0,$10,0,25.07,27,,2,110,Upgrade
"Trey Lyles, PF",SA v. HOU,"$3,500",0,"$3,000",0,$10,0,20.17,25,,2,110,Upgrade
"Marco Belinelli, SG",SA v. HOU,"$3,500",2.8,"$3,200",3.2,$10,1,15.13,27,,2,110,Upgrade
"Tyler Zeller, C",SA v. HOU,"$3,500",3.3,"$3,000",3.8,$10,1.2,1.93,14,,2,110,Upgrade
"Chris Clemons, PG",HOU @ SA,"$3,500",0,"$3,000",0,$10,0,8.44,22,,2,-131,Upgrade
"David Nwaba, SG",HOU @ SA,"$3,500",0,"$3,000",0,$10,0,13.42,9,,2,-131,Upgrade
"Michael Frazier II, SG",HOU @ SA,"$3,500",0,"$3,000",0,$10,0,9.56,9,,2,-131,Upgrade
"Luc Richard Mbah a Moute, PF",HOU @ SA,"$3,500",2.9,"$3,000",3.4,$10,1,4.6,21,,2,-131,Upgrade
"DeMarre Carroll, SF",HOU @ SA,"$3,500",0.2,"$3,000",0.2,$10,0.1,10.98,26,,2,-131,Upgrade
